,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WHL22.710415,289.321083550375,1.70780548565933,0.322508128106365,5.295387423836,1.18764342178801e-07,1.34788665362328e-05
WHL22.555873,223.133902412577,-1.63194722382921,0.30983336004824,-5.26717724513306,1.38537434298469e-07,1.56064985245268e-05
WHL22.519961,38473.6148339684,1.16155546976939,0.220672460536814,5.26370833471362,1.4117835937183e-07,1.57870624215205e-05
WHL22.751875,38.7460396071607,-2.76228541243711,0.527096397588838,-5.24056970427605,1.60081603889075e-07,1.77702265105478e-05
WHL22.480289,131.384798935799,1.6843594220811,0.32231900363403,5.22575275764246,1.73448001180739e-07,1.91144724779469e-05
WHL22.242884,3079.94742883504,1.25714791406689,0.240964415694046,5.21715171282011,1.81695435194803e-07,1.98793106362775e-05
WHL22.516940,1038.79375451586,-1.48841713872881,0.285514792051236,-5.21309991694479,1.85710801999532e-07,2.01734991200635e-05
WHL22.292948,204.457651457716,1.87145806094258,0.360945032242948,5.18488382929985,2.16149554331249e-07,2.33134923565222e-05
WHL22.639706,2900.97136581733,1.3305057755708,0.256811558981631,5.18086405785951,2.20860414443514e-07,2.36538393158941e-05
WHL22.164432,1529.15750650255,-1.66886419978646,0.322341408473013,-5.17731869353106,2.2509751802368e-07,2.39390423363925e-05
WHL22.711662,174.28365039962,-1.62808926480975,0.315039391215491,-5.16789109618396,2.36750185968197e-07,2.50034501958635e-05
WHL22.183905,5037.84218689387,1.46019007471614,0.283879230495757,5.1437016796407,2.69377174665738e-07,2.825302118839e-05
WHL22.32929,437.923432705949,1.30621461570659,0.254432359409653,5.13383839515278,2.8389188537892e-07,2.95714232386481e-05
WHL22.605259,4910.6331885867,1.16017229101779,0.226237508332527,5.12811646295429,2.92655387514949e-07,3.02768920634514e-05
WHL22.502178,348.763459306554,1.5074309525411,0.294966909146718,5.11050869028599,3.21292531452461e-07,3.30149785022232e-05
WHL22.42273,20592.3345401862,1.58783594374378,0.311013327232429,5.10536303338906,3.30160054795896e-07,3.36984839821207e-05
WHL22.702669,467.428059462594,-1.34808551827407,0.264168464377031,-5.10312811732905,3.34084663460237e-07,3.38717304126885e-05
WHL22.520763,461.80538734911,1.63155118927843,0.320673158094788,5.08789447477283,3.62060725076121e-07,3.62251283352477e-05
WHL22.706258,145.303992358379,-1.83310001318953,0.360258313280359,-5.08829344283023,3.61300016252996e-07,3.62251283352477e-05
WHL22.15432,3124.83956364951,1.20011125457664,0.23603931407218,5.08437020033725,3.68847905350043e-07,3.6424928211451e-05
WHL22.6053,266.535800313593,-1.51443618889749,0.297824410883564,-5.08499684228225,3.67632185471511e-07,3.6424928211451e-05
WHL22.185037,166.028974965887,-1.62341401853772,0.319524086935149,-5.08072500608447,3.75997084465151e-07,3.68913784551356e-05
WHL22.224645,928.625359384473,4.12825163888922,0.81285936312889,5.07867882950698,3.80068581334631e-07,3.70518140060068e-05
WHL22.628949,469.518265962978,-1.29095907170348,0.254329778177429,-5.07592575653042,3.85613852249993e-07,3.73529647453369e-05
WHL22.395150,347.887213347562,-1.52621816600182,0.301252762970975,-5.06623790251799,4.0575476755457e-07,3.86739760294036e-05
WHL22.405086,140.911186855635,-1.64380195375762,0.324354615875161,-5.06791601939246,4.02194769874574e-07,3.86739760294036e-05
WHL22.767030,514.579210846395,-1.28905551769126,0.254466885227493,-5.06571028500955,4.06880336974262e-07,3.86739760294036e-05
WHL22.306546,2597.49469656742,-1.3858250855155,0.274526293495164,-5.04805957881739,4.46319974525409e-07,4.21592184632449e-05
WHL22.106069,1184.33434501736,-1.61422416229737,0.320161038396278,-5.0419131896348,4.6090038195283e-07,4.2953595608836e-05
WHL22.10784,186.48651364744,2.07862331143544,0.412271489163294,5.04187984392035,4.60980723607562e-07,4.2953595608836e-05
WHL22.384488,2294.90378011277,1.13501622388689,0.225158755617867,5.04095974758898,4.63202898464565e-07,4.2953595608836e-05
WHL22.738139,145.302914160716,-1.55397605409178,0.308594286672773,-5.03566048110146,4.76203969554025e-07,4.38915755695612e-05
WHL22.115687,152.628551957173,1.80275398609949,0.358332016940379,5.03095983856625,4.88030380372534e-07,4.47106387030452e-05
WHL22.242114,16169.2865762505,1.43543629656812,0.286058427832498,5.0179828905745,5.22168260634478e-07,4.75517060343062e-05
WHL22.650386,275.60398700121,1.43390629780435,0.286053570048889,5.01271946215977,5.36661118679045e-07,4.85806088861364e-05
WHL22.111917,96.5833063125688,-1.86376348420203,0.372597795600028,-5.00207866555046,5.67154371373997e-07,5.1037181537608e-05
WHL22.552035,299.253965350637,1.56623137256322,0.314209554790348,4.98467137197106,6.20672134026728e-07,5.53127666915967e-05
WHL22.99505,41.6849057719857,2.58865949030974,0.519365158580203,4.98427637577076,6.21941287760589e-07,5.53127666915967e-05
WHL22.484970,303.72035732403,-1.38369675380748,0.277891415540243,-4.97927131400393,6.38241180034475e-07,5.64323945695598e-05
