PMI_027946	Pm-Mns1
PMI_026749	Pm-Sult1c_2
PMI_018823	Pm-Nop5
PMI_018824	Pm-Jmjd4l
PMI_024074	Pm-Trpa1L_1
PMI_026303	Pm-Rvt/Exn/End/Pp
PMI_026304	
PMI_026426	Pm-Thredh
PMI_027092	Pm-Ppm1k
PMI_028580	
PMI_028087	Pm-Suclg1
PMI_026450	Pm-Galnt13-2
PMI_026430	Pm-Uhfr1
PMI_026336	
PMI_026337	Pm-Gabbr1_8
PMI_026065	
PMI_029373	
PMI_027343	Pm-Hsp703B
PMI_027631	
PMI_021057	Pm-Ptpriz
PMI_028854	Pm-Hypp_1293
PMI_025093	
PMI_025094	Pm-RtL_65
PMI_029387	Pm-PolppL_69
PMI_029137	Pm-Aqp3
PMI_025627	Pm-C9orf41
PMI_023940	Pm-Srcr159
PMI_023074	
PMI_022821	Pm-PppL_131
PMI_022822	Pm-Nit2
PMI_028720	
PMI_025263	Pm-Hypp_2018
PMI_021277	Pm-Rrp12
PMI_021278	
PMI_027411	Pm-Sult1c_2
PMI_021817	Pm-Etfdh
PMI_021818	Pm-Rpl21
PMI_021819	Pm-Usp46L
PMI_021764	Pm-Perlc
PMI_018899	Pm-Rpn2
PMI_027550	Pm-Abat
PMI_028214	Pm-Int4
PMI_021720	Pm-AspatL
PMI_024820	Pm-Hypp_446
PMI_024826	Pm-Dirc2
PMI_026941	
PMI_026942	
PMI_024932	PMI_024932
PMI_018656	Pm-Megf6-2
PMI_018657	
PMI_018658	
PMI_018659	
PMI_018660	
PMI_023600	Pm-Unk
PMI_020357	Pm-Srcr18
PMI_020358	Pm-Larp7
PMI_022684	Pm-Myef2
PMI_018331	Pm-Slob
PMI_018332	Pm-Pdhb
PMI_028763	Pm-Syt4
PMI_020865	Pm-Ctsb
PMI_020866	Pm-Ctsb
PMI_024068	Pm-Gtpbp3(mitochondr
PMI_029311	
PMI_013258	Pm-Clect/Fa58c/Egf/C
PMI_029016	Pm-Cyp2L14
PMI_029235	Pm-C6orf167L
PMI_027428	Pm-Dnahc11
PMI_020939	Pm-Tpcn1
PMI_028263	Pm-Acadsb
PMI_023410	Pm-Ddx52_1
PMI_019974	Pm-Dhx9
PMI_027663	
PMI_027664	Pm-B3galtnt2
PMI_026159	Pm-Tmem183a
PMI_028048	Pm-Lec7a6_9
PMI_028552	
PMI_027628	
PMI_027629	PMI_027629
PMI_024154	Pm-Zdhhc2
PMI_019150	Pm-Kiaa0664L
PMI_022554	Pm-Gpr128L
PMI_019832	Pm-Abca1_1
PMI_028064	Pm-Strap
PMI_027863	
PMI_023461	Pm-Abca5
PMI_029278	
PMI_024141	Pm-Nae1
PMI_024142	PMI_024142
PMI_024731	Pm-Mpp6
PMI_029492	
PMI_022987	
PMI_022988	Pm-Rnf160
PMI_027128	Pm-Agrin
PMI_029525	Pm-PppL_115
PMI_016830	Pm-Ncapd2
PMI_016831	Pm-Ncapd2-2
PMI_029440	Pm-Asns_2
PMI_016912	Pm-My8
PMI_016913	Pm-My8
PMI_027106	Pm-Hsdl1
PMI_024056	
PMI_024632	Pm-Rfp150L
PMI_025042	Pm-C3orf44L
PMI_025043	Pm-C3orf44L
PMI_025854	Pm-N6amt1
PMI_028843	Pm-Tat
PMI_025540	Pm-Inpp5e
PMI_027902	Pm-Hypp_1937
PMI_020790	Pm-Tcp1_1
PMI_027028	Pm-Cyhr1
PMI_027768	Pm-Clect/Fn3_18
